Pase a Producción
Pase a QA
Creación de usuario
Desvinculación de Usuario
Cambio de Perfil
Cambio colas de Trabajo
Incorporacion de Servidor en Nagios
Comisiones Vida
Cierre Mensual DWH
Comisiones Generales
Ejecucion de Script
Restauracion de Cinta
CIERRE COASEGURO
Descargar cartuchos TSM
Proceso FECU
Cambio de Contraseña AS400
Habilitación de Usuarios AS400
Habilitación de Pantalla
CIERRE CTA.CTE.PRODUCTORES
Código fuente
Cierre Producción Mensual Generales
WEB(GitHub)
Cambio de reporte de una impresora a otra
Consola
